max,min,mean,sd,rms,skewness,kurtosis,crest,form,fault
0.7831211,-0.9999977,-2.6775524e-09,0.28098205,0.28098205,-0.11865928,-0.039330244,3.5589252,1.2595949,Ball
0.99999774,-0.860608,-3.8417056e-09,0.2973444,0.2973444,0.17482492,-0.07869911,3.3630846,1.24265,Ball
0.9771378,-0.9999978,2.1536835e-09,0.32626653,0.32626653,0.04036929,-0.27140045,3.0649626,1.2537438,Ball
0.99965,-0.9999982,-1.0477379e-09,0.278427,0.278427,-0.023283405,0.13775611,3.591586,1.2568902,Ball
0.7065443,-0.99999833,-4.0163286e-09,0.22984633,0.22984633,-0.08159258,0.406101,4.3507066,1.2769719,Ball
0.8940161,-0.9999978,1.1641532e-10,0.2980412,0.2980412,-0.13142401,-0.16578794,3.355222,1.2432394,Ball
0.8426374,-0.99999803,3.4924597e-10,0.2699688,0.2699688,-0.114257865,0.31134367,3.7041104,1.2773588,Ball
0.88492393,-0.99999785,-2.3574103e-09,0.3172076,0.3172076,-0.021970382,-0.2696302,3.1524928,1.2334603,Ball
0.99999785,-0.8312278,6.9849193e-10,0.30783474,0.30783474,0.07422464,-0.41929555,3.2484787,1.2294188,Ball
0.69441074,-0.99999803,-2.3283064e-09,0.2679088,0.2679088,-0.13633606,-0.09504676,3.7325919,1.2391721,Ball
0.99999726,-0.98808557,2.3283064e-09,0.3415089,0.3415089,-0.054708537,-0.34750056,2.9281647,1.2289138,Ball
0.9999978,-0.9278491,4.656613e-10,0.29756436,0.29756436,0.038136028,0.17392206,3.3605988,1.2505642,Ball
0.98106265,-0.99999785,-1.8626451e-09,0.29905888,0.29905888,0.0571966,-0.024120092,3.3438046,1.2433908,Ball
0.93449795,-0.99999756,-4.656613e-10,0.30979422,0.30979422,-0.01081605,0.18914223,3.2279308,1.2688271,Ball
0.9999978,-0.8747711,1.1641532e-09,0.29724735,0.29724735,-0.0043591848,-0.09705138,3.3641827,1.2508531,Ball
0.99999845,-0.82036513,2.561137e-09,0.2203417,0.2203417,0.14469293,1.3339329,4.5383782,1.3365067,Ball
0.8162733,-0.9999979,1.8626451e-09,0.2827382,0.2827382,-0.022908736,0.030320406,3.5368207,1.2532934,Ball
0.9416228,-0.9999976,-1.2805685e-09,0.31586877,0.31586877,0.016554667,-0.10435414,3.165854,1.2586446,Ball
0.83619606,-0.9999982,-2.3283064e-10,0.26238927,0.26238927,-0.046401888,0.10308266,3.8111098,1.2627243,Ball
0.99999785,-0.89376324,3.1432137e-09,0.32488608,0.32488608,0.14546576,0.08950877,3.0779858,1.2690989,Ball
0.9999976,-0.89805573,3.0267984e-09,0.32045123,0.32045123,0.055588663,-0.22013164,3.1205823,1.250512,Ball
0.89329267,-0.99999774,-2.3283064e-09,0.31719568,0.31719568,-0.09531998,-0.058326244,3.1526108,1.2543316,Ball
0.84347206,-0.99999803,3.2014214e-09,0.26974586,0.26974586,-0.09555191,0.13716745,3.707172,1.2555391,Ball
0.9999975,-0.9902317,1.0477379e-09,0.3216939,0.3216939,-0.079376884,-0.07563186,3.1085277,1.2506659,Ball
0.99999785,-0.8221121,-2.3283064e-09,0.28782824,0.28782824,0.07474842,-0.03362608,3.4742746,1.2472235,Ball
0.9676553,-0.99999774,1.9208528e-09,0.30486116,0.30486116,-0.07647074,-0.27894878,3.2801633,1.2333496,Ball
0.89177984,-0.9999976,-2.2118911e-09,0.29204768,0.29204768,-0.0490657,0.04431367,3.4240785,1.2669802,Ball
0.9999976,-0.98771024,2.6775524e-09,0.3178276,0.3178276,-0.06696541,-0.07346845,3.1463423,1.2452817,Ball
0.8779219,-0.99999785,1.5133992e-09,0.2932789,0.2932789,-0.0416543,-0.087464094,3.4097044,1.2551439,Ball
0.98171127,-0.9999974,-4.7148205e-09,0.3506422,0.3506422,-0.049721237,-0.28231478,2.8518941,1.2431691,Ball
0.9999976,-0.8981209,4.1909516e-09,0.31028262,0.31028262,-0.0003192301,-0.11832523,3.22285,1.247311,Ball
0.99999785,-0.8924243,6.4028427e-10,0.280199,0.280199,0.10451202,0.41522598,3.5688717,1.2818353,Ball
0.9733617,-0.9999975,-9.313226e-10,0.3437927,0.3437927,0.005709741,-0.42110848,2.9087136,1.2263985,Ball
0.9226768,-0.99999815,1.6298145e-09,0.24860647,0.24860647,0.019871986,0.25128078,4.022398,1.2591038,Ball
0.99153584,-0.99999803,-2.0372681e-09,0.2761262,0.2761262,0.09056512,0.10055971,3.621512,1.2692822,Ball
0.9999977,-0.9632616,-5.820766e-10,0.28911528,0.28911528,0.02775753,0.28561258,3.4588077,1.2751235,Ball
